objectid,filename,youtubeid,vimeoid,title,creator,contributor,publisher,date,description,pagenumber,subject,notes,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
hh1,hh1.jpg,,,Young Dr. Herman Hudson,"Indiana University, Bloomington. Office of African American Affairs",,,1968,a image of a young Dr. Hudson,,Herman Hudson,,Indiana University Bloomington,39.167908,-86.518982.,Indiana University Archives,,Image;StillImage,image/jpg,eng,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist.",
hh2,hh2.pdf,,,Faculty Circular #55,The Office of Afro-American Affairs,,,approx 1968,"This is a document of which the Robert Johnson, president of the Afro-Afro American Student Association wrote on behalf of that organization to the Faculty Council of Indiana University with a list of demands. Among the demands, they called for the appointment of a major administrator; they asked for a vice-president of Afro American Affairs, the establishment of an institute of Afro-American Studies, campus wide racial sensitivity training and more.",,Black Student Publications,This document comes from the unoffical archive of the Neal-Marshall Black Culture Center and at present there is no online finding aid for it,Indiana University,,,Neal-Marshall Black Culture Center Archives ,,Image;StillImage,image/pdf,eng,no copyright,
